AUPR_bench,AUPR_bench_1,AUPR_bench_2,AUPR_bench_3,AUPR_dev,AUPR_dev_1,AUPR_dev_2,AUPR_dev_3,AUPR_train,AUPR_train_1,AUPR_train_2,AUPR_train_3,AUROC_bench,AUROC_bench_1,AUROC_bench_2,AUROC_bench_3,AUROC_dev,AUROC_dev_1,AUROC_dev_2,AUROC_dev_3,AUROC_train,AUROC_train_1,AUROC_train_2,AUROC_train_3,batch_size,drop1,drop2,epochs,eps,hidden_activation,ip,lambda,learning_rate,n1,n2,n3,n_hidden,use_vat,weight_1,xi
0.218548806,0.181368417,0.249530632,0.22474737,0.23048425,0.200860546,0.260317562,0.230274641,0.288515636,0.300057041,0.2802584,0.285231466,0.718545351,0.73442896,0.699049735,0.722157359,0.745827375,0.735625383,0.747161109,0.754695633,0.794943476,0.800421298,0.794414293,0.789994838,256,0.277978894,0.321588145,25,1,sigmoid,1,0.000282889,0.00016691,398,265,146,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.232508653,0.199180197,0.273304454,0.225041308,0.281004452,0.284726356,0.27621481,0.282072188,0.718545351,0.73442896,0.699049735,0.722157359,0.74681405,0.750724209,0.744927292,0.744790649,0.772448981,0.767096993,0.774384269,0.77586568,256,0.673905092,0.133663631,25,1,sigmoid,1,1.94E-07,0.00012383,329,79,112,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230010753,0.191323389,0.263329806,0.235379065,0.271686436,0.275722217,0.269184303,0.270152788,0.718545351,0.73442896,0.699049735,0.722157359,0.744307111,0.746157639,0.746114627,0.740649067,0.770654978,0.766451572,0.774863791,0.770649571,256,0.355258895,0.336767829,25,1,sigmoid,1,8.59E-06,3.10E-05,394,179,182,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.230617204,0.193235507,0.268646012,0.229970093,0.276400212,0.285915897,0.269399525,0.273885215,0.718545351,0.73442896,0.699049735,0.722157359,0.746385153,0.749148698,0.747911004,0.742095755,0.774569391,0.770519211,0.781335034,0.771853928,256,0.554313662,0.51810746,25,1,sigmoid,1,3.31E-06,9.07E-05,357,153,108,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.226106851,0.195568094,0.25903528,0.223717179,0.292418964,0.297889304,0.291065666,0.288301923,0.718545351,0.73442896,0.699049735,0.722157359,0.747016578,0.742964984,0.745369691,0.752715061,0.791531253,0.791318645,0.794568085,0.788707029,256,0.044886196,0.390491223,25,1,sigmoid,1,0.000412482,6.27E-05,444,265,92,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.233842227,0.201238776,0.264515356,0.23577255,0.269376778,0.27611539,0.259427626,0.272587318,0.718545351,0.73442896,0.699049735,0.722157359,0.745166066,0.748635945,0.742449461,0.744412791,0.771690992,0.769753546,0.772103736,0.773215692,256,0.799911974,0.043042185,25,1,sigmoid,1,1.60E-06,0.000194736,221,81,151,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.234771919,0.199001278,0.276476918,0.228837561,0.27862927,0.287474694,0.269792574,0.278620542,0.718545351,0.73442896,0.699049735,0.722157359,0.748004028,0.749884959,0.74306148,0.751065645,0.778306242,0.776962354,0.779732157,0.778224213,256,0.778103544,0.148705214,25,1,sigmoid,1,5.42E-06,0.000155908,497,171,104,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.239160847,0.208259572,0.269382984,0.239839986,0.302387548,0.309547954,0.298534013,0.299080677,0.718545351,0.73442896,0.699049735,0.722157359,0.747544737,0.740657595,0.745419287,0.756557328,0.798357424,0.797638245,0.800827423,0.796606604,256,0.254312893,0.123428536,25,1,sigmoid,1,9.26E-07,7.50E-05,401,229,182,2,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.232348639,0.197702308,0.270597473,0.228746136,0.262265929,0.274710284,0.247189935,0.264897569,0.718545351,0.73442896,0.699049735,0.722157359,0.741840184,0.753546542,0.740767155,0.731206854,0.756899812,0.755613748,0.757476183,0.757609506,256,0.757049595,0.683803907,25,1,sigmoid,1,1.62E-07,0.000145945,275,90,120,3,0,3,10
0.218548806,0.181368417,0.249530632,0.22474737,0.239034482,0.207244051,0.274096251,0.235763143,0.296341666,0.306304599,0.288481155,0.294239244,0.718545351,0.73442896,0.699049735,0.722157359,0.747025951,0.7387775,0.746464777,0.755835576,0.796711991,0.801746652,0.795455951,0.79293337,256,0.280826723,0.638235745,25,1,sigmoid,1,9.83E-05,0.000162781,465,50,167,3,0,3,10
